EmployeeID,FirstName,LastName,Email,PhoneNumber,HireDate,JobTitle,DepartmentID,ManagerID
57,Rachel,Stephens,rachel.stephens.57@company.com,7958097727,2011-11-04,Associate Data Scientist,1,1
58,Michael,Lloyd,michael.lloyd.58@company.com,7546204864,2005-05-18,AI Engineer,1,1
59,Andrew,Leon,andrew.leon.59@company.com,9212495916,2012-02-08,AI Engineer,1,1
60,Ryan,Melendez,ryan.melendez.60@company.com,7774031070,2012-08-12,Associate Data Scientist,1,1
61,Amanda,Smith,amanda.smith.61@company.com,9606059254,2018-11-07,AI Engineer,1,1
62,Mary,Perez,mary.perez.62@company.com,9605962746,2010-05-13,AI Engineer,1,1
63,Robert,Martin,robert.martin.63@company.com,7305263562,2006-02-03,Associate Data Scientist,1,1
64,John,Ruiz,john.ruiz.64@company.com,7840459991,2007-01-05,AI Engineer,1,1
65,Jared,Mooney,jared.mooney.65@company.com,9824696308,2006-04-20,AI Engineer,1,1
66,Matthew,Leonard,matthew.leonard.66@company.com,6784603049,2023-02-26,Associate Data Scientist,1,1
67,Savannah,Duffy,savannah.duffy.67@company.com,7277455531,2009-07-21,Associate Data Scientist,1,1
68,Kimberly,Robbins,kimberly.robbins.68@company.com,6470362347,2010-05-18,Associate Data Scientist,1,1
69,Andrea,Scott,andrea.scott.69@company.com,7477298377,2024-07-01,AI Engineer,1,1
70,Amy,Smith,amy.smith.70@company.com,6370342540,2013-06-27,Associate Data Scientist,1,1
71,Michael,Smith,michael.smith.71@company.com,9940545928,2009-06-18,AI Engineer,1,1
72,Victoria,Aguilar,victoria.aguilar.72@company.com,6619886835,2013-08-25,AI Engineer,1,1
73,Jacob,Mcgee,jacob.mcgee.73@company.com,8192640474,2011-05-26,AI Engineer,1,1
74,Geoffrey,Thomas,geoffrey.thomas.74@company.com,6356401027,2014-02-26,Associate Data Scientist,1,1
75,Roberta,Hernandez,roberta.hernandez.75@company.com,6636132452,2005-02-21,AI Engineer,1,1
76,William,Figueroa,william.figueroa.76@company.com,6375237025,2008-06-14,Associate Data Scientist,1,1
77,Dustin,Nelson,dustin.nelson.77@company.com,6943399048,2012-07-26,Associate Data Scientist,1,1
78,Angela,Bowers,angela.bowers.78@company.com,8094059542,2014-09-12,AI Engineer,1,1
79,Dana,Estrada,dana.estrada.79@company.com,8652250238,2011-12-08,AI Engineer,1,1
80,Kristi,Blair,kristi.blair.80@company.com,9219379017,2005-05-15,AI Engineer,1,1
81,Darius,Martin,darius.martin.81@company.com,8946915450,2007-02-11,Associate Data Scientist,1,1
82,Allen,Robinson,allen.robinson.82@company.com,9051997432,2016-01-05,Associate Data Scientist,1,1
83,Steven,Richardson,steven.richardson.83@company.com,9052179223,2009-07-17,Associate Data Scientist,1,1
84,John,Meyers,john.meyers.84@company.com,6447253597,2005-01-06,Associate Data Scientist,1,1
85,Jonathon,Cisneros,jonathon.cisneros.85@company.com,7995313776,2009-05-06,Associate Data Scientist,1,1
86,Susan,Coleman,susan.coleman.86@company.com,8865644240,2006-12-29,Associate Data Scientist,1,1
87,Nicholas,Mccarthy,nicholas.mccarthy.87@company.com,6543243675,2012-02-16,AI Engineer,1,1
88,Stephanie,Montoya,stephanie.montoya.88@company.com,6972540583,2018-01-21,Associate Data Scientist,1,1
89,Brian,Mooney,brian.mooney.89@company.com,7263657331,2024-01-25,Associate Data Scientist,1,1
90,Shannon,Russo,shannon.russo.90@company.com,8710077805,2014-04-09,AI Engineer,1,1
91,Rebecca,Spencer,rebecca.spencer.91@company.com,9362465952,2017-03-11,Associate Data Scientist,1,1
92,Meghan,Brown,meghan.brown.92@company.com,7132095026,2014-09-19,Associate Data Scientist,1,1
93,Leslie,Love,leslie.love.93@company.com,6741008708,2005-10-27,Associate Data Scientist,1,1
94,Daniel,Powell,daniel.powell.94@company.com,7839918052,2005-03-06,AI Engineer,1,1
95,Diane,Marks,diane.marks.95@company.com,6443246567,2008-02-17,Associate Data Scientist,1,1
96,Ryan,Taylor,ryan.taylor.96@company.com,8933264230,2016-11-27,AI Engineer,1,1
97,Matthew,Green,matthew.green.97@company.com,6888746062,2024-02-20,Associate Data Scientist,1,1
98,Angelica,Contreras,angelica.contreras.98@company.com,6341427290,2015-09-22,AI Engineer,1,1
99,Amy,Moore,amy.moore.99@company.com,9675929675,2008-11-03,Associate Data Scientist,1,1
100,Carol,Johnson,carol.johnson.100@company.com,9781496627,2014-06-30,Associate Data Scientist,1,1
101,Andrea,Gardner,andrea.gardner.101@company.com,8545812836,2007-04-30,Associate Data Scientist,1,1
102,Patricia,Michael,patricia.michael.102@company.com,6318346534,2010-09-19,AI Engineer,1,1
103,Ryan,Page,ryan.page.103@company.com,6930376143,2010-12-29,AI Engineer,1,1
104,Anna,Wallace,anna.wallace.104@company.com,6037544711,2008-11-05,AI Engineer,1,1
105,Brian,Smith,brian.smith.105@company.com,6758608155,2014-12-24,AI Engineer,1,1
106,Rose,Green,rose.green.106@company.com,8861250100,2020-11-21,Associate Data Scientist,1,1
107,Joseph,Figueroa,joseph.figueroa.107@company.com,6620761791,2018-05-09,AI Engineer,1,1
108,Aaron,Fernandez,aaron.fernandez.108@company.com,8605247460,2007-01-29,Associate Data Scientist,1,1
109,Christopher,Costa,christopher.costa.109@company.com,7721890761,2024-12-01,Associate Data Scientist,1,1
110,Allison,Adams,allison.adams.110@company.com,9833595369,2018-11-26,AI Engineer,1,1
111,Patricia,Walker,patricia.walker.111@company.com,9732259823,2010-01-28,AI Engineer,1,1
112,Jennifer,Blevins,jennifer.blevins.112@company.com,7264853436,2007-01-01,Associate Data Scientist,1,1
113,Hector,Smith,hector.smith.113@company.com,8283147168,2008-10-13,Associate Data Scientist,1,1
114,Martin,Walters,martin.walters.114@company.com,7189997033,2020-01-28,Associate Data Scientist,1,1
115,Jonathan,Williams,jonathan.williams.115@company.com,9829334806,2014-12-30,AI Engineer,1,1
116,Scott,Nichols,scott.nichols.116@company.com,9796429994,2005-09-23,Associate Data Scientist,1,1
117,Marisa,Clark,marisa.clark.117@company.com,6217018193,2006-12-20,AI Engineer,1,1
118,James,Mcdonald,james.mcdonald.118@company.com,7023586749,2012-03-01,AI Engineer,1,1
119,Maria,Farmer,maria.farmer.119@company.com,9267165561,2015-10-29,Associate Data Scientist,1,1
120,Christopher,Wright,christopher.wright.120@company.com,7438244175,2006-04-15,AI Engineer,1,1
121,Kathryn,Lam,kathryn.lam.121@company.com,7332770007,2005-12-31,AI Engineer,1,1
122,Karen,Jones,karen.jones.122@company.com,7417380003,2015-07-16,Associate Data Scientist,1,1
123,Hannah,Howell,hannah.howell.123@company.com,7465851924,2012-03-18,AI Engineer,1,1
124,Ryan,Smith,ryan.smith.124@company.com,9245828877,2017-06-16,AI Engineer,1,1
125,Jennifer,Burton,jennifer.burton.125@company.com,7347601749,2021-02-26,AI Engineer,1,1
126,Jamie,Hernandez,jamie.hernandez.126@company.com,8763452476,2014-05-31,AI Engineer,1,1
127,Tamara,Jackson,tamara.jackson.127@company.com,6252317567,2015-12-28,AI Engineer,1,1
128,Amber,Lawrence,amber.lawrence.128@company.com,6686446427,2021-03-09,AI Engineer,1,1
129,Joshua,Walsh,joshua.walsh.129@company.com,6172428769,2018-08-31,AI Engineer,1,1
130,Arthur,Vargas,arthur.vargas.130@company.com,8645514483,2024-10-14,Associate Data Scientist,1,1
131,Craig,Mcintosh,craig.mcintosh.131@company.com,7436982631,2006-09-21,AI Engineer,1,1
132,Lindsay,Hartman,lindsay.hartman.132@company.com,6323862077,2019-11-01,AI Engineer,1,1
133,Tammy,Rivera,tammy.rivera.133@company.com,6312517299,2015-10-12,AI Engineer,1,1
134,Judy,Willis,judy.willis.134@company.com,8029590025,2015-11-07,Associate Data Scientist,1,1
135,Daniel,Adams,daniel.adams.135@company.com,8160205549,2020-10-07,AI Engineer,1,1
136,Kristy,Decker,kristy.decker.136@company.com,8783518729,2007-10-10,Associate Data Scientist,1,1
137,Justin,Kelly,justin.kelly.137@company.com,7926712663,2006-06-26,AI Engineer,1,1
138,Brandon,Wilson,brandon.wilson.138@company.com,7105827027,2017-05-02,Associate Data Scientist,1,1
139,Travis,Webb,travis.webb.139@company.com,7789920974,2011-09-21,Associate Data Scientist,1,1
140,Brian,House,brian.house.140@company.com,6277629673,2010-05-12,Associate Data Scientist,1,1
141,Caleb,Winters,caleb.winters.141@company.com,6130498960,2014-12-04,Associate Data Scientist,1,1
142,George,Wu,george.wu.142@company.com,9352484631,2007-07-09,AI Engineer,1,1
143,Troy,Porter,troy.porter.143@company.com,6600998895,2009-08-24,AI Engineer,1,1
144,William,Kelly,william.kelly.144@company.com,8629536430,2006-01-21,AI Engineer,1,1
145,James,Mckenzie,james.mckenzie.145@company.com,6152204470,2013-04-22,AI Engineer,1,1
146,Mason,Stokes,mason.stokes.146@company.com,7559746167,2011-07-20,Associate Data Scientist,1,1
147,Jonathan,Martinez,jonathan.martinez.147@company.com,7601271257,2012-08-06,Associate Data Scientist,1,1
148,Lisa,Martin,lisa.martin.148@company.com,7460134673,2024-04-12,AI Engineer,1,1
149,Jessica,Porter,jessica.porter.149@company.com,7917183166,2008-11-12,Associate Data Scientist,1,1
150,Sara,Hebert,sara.hebert.150@company.com,9362803866,2019-02-02,Associate Data Scientist,1,1
151,Erica,Dennis,erica.dennis.151@company.com,9167323273,2014-01-03,AI Engineer,1,1
152,Michael,Lopez,michael.lopez.152@company.com,9038623050,2007-11-22,AI Engineer,1,1
153,Melissa,Whitehead,melissa.whitehead.153@company.com,7411715560,2013-07-01,AI Engineer,1,1
154,Stephen,Harrison,stephen.harrison.154@company.com,7993009915,2017-04-30,AI Engineer,1,1
155,Tara,Newman,tara.newman.155@company.com,9850615983,2005-08-16,Associate Data Scientist,1,1
156,Kelli,Henderson,kelli.henderson.156@company.com,8163054595,2021-11-06,Associate Data Scientist,1,1
157,Dustin,Little,dustin.little.157@company.com,9074181696,2008-07-08,AI Engineer,1,1
158,Donna,Greer,donna.greer.158@company.com,8705644831,2009-06-12,AI Engineer,1,1
159,Clayton,Bradley,clayton.bradley.159@company.com,7373243107,2016-02-10,AI Engineer,1,1
160,Emily,Walker,emily.walker.160@company.com,8388705803,2018-09-04,AI Engineer,1,1
161,John,Abbott,john.abbott.161@company.com,8005361810,2020-03-24,AI Engineer,1,1
162,Kyle,Thomas,kyle.thomas.162@company.com,7023862609,2021-03-09,Associate Data Scientist,1,1
163,Hannah,Stephens,hannah.stephens.163@company.com,8796627261,2018-12-03,Associate Data Scientist,1,1
164,Deanna,Baker,deanna.baker.164@company.com,8075071867,2006-02-24,AI Engineer,1,1
165,William,Wilson,william.wilson.165@company.com,8481572323,2018-08-03,Associate Data Scientist,1,1
166,Joan,Gentry,joan.gentry.166@company.com,6749556675,2013-12-17,Associate Data Scientist,1,1
167,Jennifer,Martin,jennifer.martin.167@company.com,7111567529,2005-11-03,AI Engineer,1,1
168,Matthew,Irwin,matthew.irwin.168@company.com,9453536885,2015-02-02,Associate Data Scientist,1,1
169,Jeremy,Clarke,jeremy.clarke.169@company.com,9453299788,2006-01-25,AI Engineer,1,1
170,Benjamin,Crawford,benjamin.crawford.170@company.com,8717244214,2023-02-07,Associate Data Scientist,1,1
171,Karen,Martinez,karen.martinez.171@company.com,9061200738,2021-06-23,AI Engineer,1,1
172,Tyler,Chavez,tyler.chavez.172@company.com,8894299183,2010-10-31,Associate Data Scientist,1,1
173,Nathaniel,Thompson,nathaniel.thompson.173@company.com,9032822595,2014-04-18,Associate Data Scientist,1,1
174,David,Chase,david.chase.174@company.com,8248446163,2022-04-16,Associate Data Scientist,1,1
175,Rebecca,Lee,rebecca.lee.175@company.com,6460759240,2007-11-18,Associate Data Scientist,1,1
176,Mary,Schmitt,mary.schmitt.176@company.com,7474998713,2016-02-16,Associate Data Scientist,1,1
177,John,Wells,john.wells.177@company.com,8594267023,2019-02-22,Associate Data Scientist,1,1
178,Yolanda,Parks,yolanda.parks.178@company.com,7806294830,2024-08-14,AI Engineer,1,1
179,Robert,Wall,robert.wall.179@company.com,8472009359,2007-10-28,AI Engineer,1,1
180,Mark,Dudley,mark.dudley.180@company.com,7952449675,2006-01-11,AI Engineer,1,1
181,Amber,Carter,amber.carter.181@company.com,7624740606,2006-08-18,Associate Data Scientist,1,1
182,Ashley,Shannon,ashley.shannon.182@company.com,8153339153,2005-12-27,Associate Data Scientist,1,1
183,Annette,Coleman,annette.coleman.183@company.com,9409622286,2018-11-25,Associate Data Scientist,1,1
184,Kristine,Mata,kristine.mata.184@company.com,7345590241,2023-05-17,Associate Data Scientist,1,1
185,Michael,Gonzalez,michael.gonzalez.185@company.com,8102473980,2022-11-30,AI Engineer,1,1
186,Jorge,Clark,jorge.clark.186@company.com,8782483019,2016-12-26,Associate Data Scientist,1,1
187,Michael,Jacobs,michael.jacobs.187@company.com,6338382422,2007-09-25,Associate Data Scientist,1,1
188,Katherine,Rodriguez,katherine.rodriguez.188@company.com,9692050772,2018-02-21,Associate Data Scientist,1,1
189,Juan,Ramirez,juan.ramirez.189@company.com,7669115813,2022-02-17,Associate Data Scientist,1,1
190,Morgan,Anderson,morgan.anderson.190@company.com,7277087969,2024-04-20,AI Engineer,1,1
191,Michael,Snyder,michael.snyder.191@company.com,9753248074,2022-06-13,AI Engineer,1,1
192,Douglas,Taylor,douglas.taylor.192@company.com,9164329036,2005-05-07,Associate Data Scientist,1,1
193,Scott,Christensen,scott.christensen.193@company.com,8022531274,2024-11-14,Associate Data Scientist,1,1
194,Kelsey,Collier,kelsey.collier.194@company.com,7879854341,2023-06-29,AI Engineer,1,1
195,Angela,Butler,angela.butler.195@company.com,8980841530,2014-08-15,AI Engineer,1,1
196,Becky,Williams,becky.williams.196@company.com,8893374361,2018-07-20,AI Engineer,1,1
197,Jessica,Bell,jessica.bell.197@company.com,7228136904,2011-12-14,Associate Data Scientist,1,1
198,Tyler,Terry,tyler.terry.198@company.com,7815657282,2022-12-16,Associate Data Scientist,1,1
199,Shawna,Hernandez,shawna.hernandez.199@company.com,9597357573,2016-04-12,AI Engineer,1,1
200,Renee,Green,renee.green.200@company.com,6129548658,2020-01-15,Associate Data Scientist,1,1
201,Amber,Kent,amber.kent.201@company.com,9627092352,2017-02-27,AI Engineer,1,1
202,Anthony,Brown,anthony.brown.202@company.com,9506222214,2018-06-07,Associate Data Scientist,1,1
203,Stacey,Morgan,stacey.morgan.203@company.com,6060241319,2021-01-16,AI Engineer,1,1
204,Lonnie,Schmidt,lonnie.schmidt.204@company.com,9909116461,2005-02-02,AI Engineer,1,1
205,Diana,Miller,diana.miller.205@company.com,7901189783,2011-08-31,AI Engineer,1,1
206,Yvonne,Briggs,yvonne.briggs.206@company.com,7009655850,2009-01-05,Associate Data Scientist,1,1
207,Jessica,Walker,jessica.walker.207@company.com,9110261523,2018-10-12,AI Engineer,1,1
208,Kathryn,Landry,kathryn.landry.208@company.com,9697523959,2012-04-07,Associate Data Scientist,1,1
209,Albert,Keller,albert.keller.209@company.com,7664162113,2018-09-22,Associate Data Scientist,1,1
210,Lisa,Perez,lisa.perez.210@company.com,8103765579,2010-04-19,AI Engineer,1,1
211,Joseph,Garcia,joseph.garcia.211@company.com,9024217463,2007-01-24,AI Engineer,1,1
212,Melissa,Francis,melissa.francis.212@company.com,8144016112,2007-07-19,AI Engineer,1,1
213,Kristi,Wilson,kristi.wilson.213@company.com,8917343717,2021-10-24,Associate Data Scientist,1,1
214,Devin,Palmer,devin.palmer.214@company.com,6703860883,2019-07-15,Associate Data Scientist,1,1
215,Erin,Long,erin.long.215@company.com,9521749273,2014-07-06,Associate Data Scientist,1,1
216,Louis,Gillespie,louis.gillespie.216@company.com,6918025547,2023-02-10,Associate Data Scientist,1,1
217,Elizabeth,Jenkins,elizabeth.jenkins.217@company.com,8254369137,2015-04-25,AI Engineer,1,1
218,Matthew,Farrell,matthew.farrell.218@company.com,9696739459,2017-09-17,Associate Data Scientist,1,1
219,Adam,Castro,adam.castro.219@company.com,7766084978,2020-09-23,AI Engineer,1,1
220,Mary,Good,mary.good.220@company.com,6492381163,2017-02-12,AI Engineer,1,1
221,Jennifer,Clark,jennifer.clark.221@company.com,6180947953,2020-08-22,AI Engineer,1,1
222,David,Clarke,david.clarke.222@company.com,7367227942,2019-07-06,AI Engineer,1,1
223,Paul,Rice,paul.rice.223@company.com,9412660894,2005-11-19,Associate Data Scientist,1,1
224,Lindsay,Saunders,lindsay.saunders.224@company.com,7602896819,2006-05-12,Associate Data Scientist,1,1
225,Desiree,Hurley,desiree.hurley.225@company.com,9295979970,2024-04-07,AI Engineer,1,1
226,Chelsea,Mcfarland,chelsea.mcfarland.226@company.com,7965676801,2013-08-23,AI Engineer,1,1
227,Robert,Vang,robert.vang.227@company.com,6958722746,2007-06-01,AI Engineer,1,1
228,Madison,Pruitt,madison.pruitt.228@company.com,7789996297,2009-06-16,Associate Data Scientist,1,1
229,Julia,Wyatt,julia.wyatt.229@company.com,8780874299,2017-09-19,AI Engineer,1,1
230,Luis,Smith,luis.smith.230@company.com,9340277601,2022-12-12,Associate Data Scientist,1,1
231,Robert,Figueroa,robert.figueroa.231@company.com,7114915655,2013-12-12,Associate Data Scientist,1,1
232,Michael,Perry,michael.perry.232@company.com,9144908852,2019-01-31,AI Engineer,1,1
233,Nancy,Sullivan,nancy.sullivan.233@company.com,8131030644,2007-03-27,AI Engineer,1,1
234,Michael,Kane,michael.kane.234@company.com,8667911425,2021-05-29,AI Engineer,1,1
235,Bethany,Hampton,bethany.hampton.235@company.com,9197208993,2008-10-31,AI Engineer,1,1
236,Edward,Nelson,edward.nelson.236@company.com,9464218814,2006-01-05,Associate Data Scientist,1,1
237,Megan,Harper,megan.harper.237@company.com,7393445754,2005-11-17,AI Engineer,1,1
238,Keith,Armstrong,keith.armstrong.238@company.com,7224523992,2013-04-11,Associate Data Scientist,1,1
239,Amanda,Aguilar,amanda.aguilar.239@company.com,7110635561,2021-06-14,Associate Data Scientist,1,1
240,Samuel,Case,samuel.case.240@company.com,7206353104,2012-09-17,AI Engineer,1,1
241,Edward,Baker,edward.baker.241@company.com,8672328834,2007-07-20,AI Engineer,1,1
242,Susan,Young,susan.young.242@company.com,9742355850,2006-09-25,AI Engineer,1,1
243,Christopher,Pittman,christopher.pittman.243@company.com,8462689799,2011-12-15,AI Engineer,1,1
244,Gabrielle,Myers,gabrielle.myers.244@company.com,8567809565,2020-12-06,AI Engineer,1,1
245,Anthony,Garza,anthony.garza.245@company.com,6347481528,2014-06-30,AI Engineer,1,1
246,Frank,Costa,frank.costa.246@company.com,8355171140,2018-02-04,Associate Data Scientist,1,1
247,Mary,Wilson,mary.wilson.247@company.com,9470989504,2017-05-28,Associate Data Scientist,1,1
248,Andrew,Moran,andrew.moran.248@company.com,7270978016,2013-04-22,AI Engineer,1,1
249,Tyler,Cook,tyler.cook.249@company.com,8204175516,2010-10-28,Associate Data Scientist,1,1
250,Charles,Pierce,charles.pierce.250@company.com,8236398754,2006-08-25,AI Engineer,1,1
251,John,Martinez,john.martinez.251@company.com,7291803370,2014-08-20,AI Engineer,1,1
252,Jennifer,Sandoval,jennifer.sandoval.252@company.com,7280136191,2009-08-09,AI Engineer,1,1
253,Jacob,Roberts,jacob.roberts.253@company.com,7953664444,2007-09-27,AI Engineer,1,1
254,Benjamin,Chapman,benjamin.chapman.254@company.com,8286252965,2019-10-17,AI Engineer,1,1
255,Amy,Barnett,amy.barnett.255@company.com,9309691798,2014-02-24,AI Engineer,1,1
256,Paula,Guzman,paula.guzman.256@company.com,7674530903,2023-11-15,Associate Data Scientist,1,1
257,Steven,Rodriguez,steven.rodriguez.257@company.com,9107217857,2017-10-19,Associate Data Scientist,1,1
258,Kenneth,Martin,kenneth.martin.258@company.com,8248515604,2022-03-26,AI Engineer,1,1
259,Wendy,Reyes,wendy.reyes.259@company.com,7245198964,2016-08-22,AI Engineer,1,1
260,Laura,Molina,laura.molina.260@company.com,9537190989,2021-05-29,AI Engineer,1,1
261,Sydney,Gilmore,sydney.gilmore.261@company.com,7970425870,2019-01-31,AI Engineer,1,1
262,James,Scott,james.scott.262@company.com,7927163906,2005-04-14,Associate Data Scientist,1,1
263,Ronald,Dorsey,ronald.dorsey.263@company.com,8366143928,2005-10-15,Associate Data Scientist,1,1
264,Emily,Hoffman,emily.hoffman.264@company.com,6184215107,2014-07-26,AI Engineer,1,1
265,Brian,Herman,brian.herman.265@company.com,9206310358,2011-02-01,Associate Data Scientist,1,1
266,Deborah,Weber,deborah.weber.266@company.com,9446646572,2008-01-01,Associate Data Scientist,1,1
267,Brandon,Aguilar,brandon.aguilar.267@company.com,7839806065,2011-04-17,AI Engineer,1,1
268,Jessica,Prince,jessica.prince.268@company.com,7875930791,2012-07-28,Associate Data Scientist,1,1
269,Matthew,Bradford,matthew.bradford.269@company.com,8521887408,2016-05-23,Associate Data Scientist,1,1
270,Patricia,Shah,patricia.shah.270@company.com,6781785053,2015-10-25,AI Engineer,1,1
271,Patrick,Prince,patrick.prince.271@company.com,6396246364,2017-11-10,AI Engineer,1,1
272,Dave,Conway,dave.conway.272@company.com,9977698092,2020-07-24,AI Engineer,1,1
273,Cheryl,Powers,cheryl.powers.273@company.com,7059127354,2021-02-12,AI Engineer,1,1
274,Richard,Snyder,richard.snyder.274@company.com,7648752500,2017-04-19,AI Engineer,1,1
275,Lindsay,Farrell,lindsay.farrell.275@company.com,7988726681,2023-03-14,AI Engineer,1,1
276,Maria,Martin,maria.martin.276@company.com,7251773536,2020-10-17,AI Engineer,1,1
277,Michael,Walter,michael.walter.277@company.com,8810209503,2008-12-17,AI Engineer,1,1
278,Harold,Steele,harold.steele.278@company.com,7562707104,2021-08-02,AI Engineer,1,1
279,Kevin,Best,kevin.best.279@company.com,7517424284,2014-11-04,AI Engineer,1,1
280,Tiffany,Allen,tiffany.allen.280@company.com,9183125292,2023-01-12,AI Engineer,1,1
281,James,Johnston,james.johnston.281@company.com,8794163390,2007-10-17,Associate Data Scientist,1,1
282,Isabel,Ward,isabel.ward.282@company.com,7981477251,2022-08-17,AI Engineer,1,1
283,Danielle,Green,danielle.green.283@company.com,9526434988,2020-08-09,Associate Data Scientist,1,1
284,John,Schultz,john.schultz.284@company.com,7790149074,2012-11-21,Associate Data Scientist,1,1
